Name	CR	Alignment	Size	Base_Speed	Fly_Speed	Swim_Speed	Source	Type	subtype1	subtype2	subtype3	subtype4	subtype5	subtype6
Amon	25	LE	Large	60	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Amphisbaena	4	N	Large	20	0	20	PFRPG Bestiary 2	magical beast						
Amphisbaena	4	N	Large	20	0	20	Tome of Horrors Complete	magical beast						
Ancient Black Dragon	16	CE	Huge	60	200	60	PFRPG Bestiary	dragon	water					
Ancient Blue Dragon	18	LE	Gargantuan	40	250	0	PFRPG Bestiary	dragon	earth					
Ancient Brass Dragon	16	CG	Huge	60	200	0	PFRPG Bestiary	dragon	fire					
Ancient Brine Dragon	16	LN	Huge	60	200	60	PFRPG Bestiary 2	dragon	extraplanar	water				
Ancient Bronze Dragon	18	LG	Gargantuan	40	250	60	PFRPG Bestiary	dragon	water					
Ancient Cloud Dragon	16	N	Gargantuan	40	250	40	Tome of Horrors Complete	dragon	air					
Ancient Cloud Dragon	18	CN	Gargantuan	40	250	0	PFRPG Bestiary 2	dragon	air	extraplanar				
Ancient Copper Dragon	17	CG	Huge	40	200	0	PFRPG Bestiary	dragon	earth					
Ancient Crystal Dragon	15	CG	Huge	60	0	0	PFRPG Bestiary 2	dragon	earth	extraplanar				
Ancient Dungeon Dragon	14	N	Huge	30	0	0	Tome of Horrors Complete	dragon	shapechanger					
Ancient Forest Dragon	19	CE	Gargantuan	40	250	0	PFRPG Bestiary 3	dragon	earth					
Ancient Gold Dragon	20	LG	Gargantuan	60	250	60	PFRPG Bestiary	dragon	fire					
Ancient Gray Dragon	15	NE	Huge	60	0	40	Tome of Horrors 4	dragon	water					
Ancient Green Dragon	17	LE	Gargantuan	40	250	40	PFRPG Bestiary	dragon	air					
Ancient Lunar Dragon	18	CN	Gargantuan	40	250	0	PFRPG Bestiary 4	dragon						
Ancient Magma Dragon	17	CN	Huge	40	200	0	PFRPG Bestiary 2	dragon	extraplanar	fire				
Ancient Mist Dragon	16	N	Gargantuan	40	250	20	Tome of Horrors Complete	dragon	air	fire	water			
Ancient Red Dragon	19	CE	Gargantuan	40	250	0	PFRPG Bestiary	dragon	fire					
Ancient Sea Dragon	17	CG	Gargantuan	40	250	120	PFRPG Bestiary 3	dragon	water					
Ancient Silver Dragon	19	LG	Gargantuan	40	250	0	PFRPG Bestiary	dragon	cold					
Ancient Sky Dragon	18	LG	Gargantuan	40	0	0	PFRPG Bestiary 3	dragon	air					
Ancient Solar Dragon	18	LN	Gargantuan	50	0	0	PFRPG Bestiary 4	dragon	fire					
Ancient Sovereign Dragon	20	N	Gargantuan	50	0	0	PFRPG Bestiary 3	dragon						
Ancient Time Dragon	20	N	Gargantuan	50	0	0	PFRPG Bestiary 4	dragon						
Ancient Umbral Dragon	19	CE	Gargantuan	40	250	0	PFRPG Bestiary 2	dragon	extraplanar					
Ancient Underworld Dragon	16	LE	Huge	40	200	0	PFRPG Bestiary 3	dragon	fire					
Ancient Void Dragon	18	NE	Gargantuan	40	0	0	PFRPG Bestiary 4	dragon						
Ancient Vortex Dragon	19	LN	Gargantuan	60	250	0	PFRPG Bestiary 4	dragon	fire					
Ancient White Dragon	15	CE	Huge	30	200	60	PFRPG Bestiary	dragon	cold					
Andrazku	5	CE	Medium	30	0	0	AP 69	outsider	chaotic	cold	demon	evil	extraplanar	
Android	0.50	N	Medium	30	0	0	Inner Sea Bestiary	humanoid	android					
Androsphinx	9	CG	Large	40	0	0	PFRPG Bestiary 3	magical beast						
Angazhani (High Girallon)	9	CE	Large	30	0	0	Heart of the Jungle	magical beast						
Angelic Guardian	5	N	Medium	30	0	0	Magnimar City Of Monuments	construct						
Angustiden	7	N	Gargantuan	0	0	90	AP 57	animal	aquatic					
Animate Dream	8	NE	Medium	0	40	0	PFRPG Bestiary 2	outsider	extraplanar	incorporeal				
Animated Object	3	N	Medium	30	0	0	PFRPG Bestiary	construct						
Animated Tank	12	N	Huge	40	0	0	AP 71	construct						
Ankheg	3	N	Large	30	0	0	PFRPG Bestiary	magical beast						
Ankou	14	LE	Large	0	90	0	PFRPG Bestiary 4	fey	extraplanar					
Ankylosaurus	6	N	Huge	30	0	0	PFRPG Bestiary	animal						
Annis Hag	6	CE	Large	40	0	0	PFRPG Bestiary 3	monstrous humanoid						
Ant Lion	6	N	Large	30	0	0	Tome of Horrors Complete	vermin						
Antelope	0.50	N	Small	60	0	0	PFRPG Bestiary 3	animal						
Aoandon	12	CE	Medium	0	60	0	PFRPG Bestiary 4	outsider	incorporeal	native				
Apocalypse Locust	6	CE	Large	30	0	0	PFRPG Bestiary 4	outsider	evil	extraplanar	mythic			
Apostasy Wraith	6	CE	Medium	0	60	0	Inner Sea Bestiary	undead	incorporeal					
Apostate Devil	17	LE	Medium	30	30	0	Book of the Damned V1	outsider	devil	evil	extraplanar	lawful		
Apparition	7	CE	Medium	0	60	0	Tome of Horrors Complete	undead	incorporeal					
Arach	7	NE	Medium	30	0	0	Tome of Horrors Complete	monstrous humanoid						
Aranea	4	N	Medium	50	0	0	PFRPG Bestiary 2	magical beast	shapechanger					
Arbiter	2	LN	Tiny	20	50	0	PFRPG Bestiary 2	outsider	extraplanar	inevitable	lawful			
Arcanoplasm	7	N	Large	30	0	0	Tome of Horrors Complete	aberration						
Arcanotheign	15	N	Medium	40	60	0	AP 41	outsider	extraplanar	incorporeal				
Archaeopteryx	0.25	N	Tiny	40	40	0	PFRPG Bestiary 4	animal						
Archelon	5	N	Huge	15	0	15	PFRPG Bestiary 3	animal						
Archer Bush	2	N	Small	10	0	0	Tome of Horrors Complete	plant						
Arctic Fox	0.25	N	Tiny	40	0	0	Reign Of Winter Player's Guide	animal						
Arctic Hare	0.17	N	Tiny	50	0	0	Reign Of Winter Player's Guide	animal						
Arctic Tern	0.17	N	Tiny	10	0	0	Reign Of Winter Player's Guide	animal						
Argos	3	NE	Medium	30	0	60	Tome of Horrors 4	monstrous humanoid	aquatic	extraplanar				
Argus	13	LN	Gargantuan	40	0	0	PFRPG Bestiary 4	aberration	mythic					
Armadillo	0.25	N	Tiny	30	0	0	Animal Archive	animal						
Army Ant Swarm	5	N	Fine	30	0	0	PFRPG Bestiary	vermin	swarm					
Arsinoitherium	7	N	Large	30	0	0	PFRPG Bestiary 2	animal						
Ascomoid	5	N	Large	40	0	0	PFRPG Bestiary 3	plant						
Ascomoid	5	N	Large	40	0	0	Tome of Horrors Complete	plant	fungus					
Ash Giant	11	CN	Large	40	0	0	PFRPG Bestiary 3	humanoid	giant					
Asp	2	N	Medium	20	0	20	Osirion, Legacy Of Pharaohs	animal						
Asp Mummy	8	LE	Medium	30	0	0	Tome of Horrors 4	undead						
Aspidochelone	17	N	Colossal	0	0	120	AP 27	magical beast	aquatic					
Aspis Agents	4	LE	Medium	30	0	0	Magnimar City Of Monuments	humanoid	human					
Asrai	5	CN	Tiny	20	0	40	Tome of Horrors Complete	fey	aquatic					
Assassin Vine	3	N	Large	5	0	0	PFRPG Bestiary	plant						
Astradaemon	16	NE	Large	90	90	0	PFRPG Bestiary 2	outsider	daemon	evil	extraplanar			
Astral Deva	14	NG	Medium	50	100	0	PFRPG Bestiary	outsider	angel	extraplanar	good			
Astral Leviathan	18	N	Colossal	0	90	0	PFRPG Bestiary 4	outsider	extraplanar					
Astral Shark	6	N	Large	60	0	0	Tome of Horrors Complete	outsider						
Astral Spider	8	N	Large	40	0	0	Tome of Horrors 4	outsider						
Asurendra	20	LE	Huge	50	50	50	PFRPG Bestiary 3	outsider	asura	evil	extraplanar	lawful		
Aswang	6	CE	Medium	40	0	0	Tome of Horrors 4	undead						
Atamahuta	11	LE	Large	30	0	0	AP 51	outsider	oni	giant	native	shapechanger		
Athach	12	CE	Huge	50	0	0	PFRPG Bestiary 2	humanoid	giant					
Atomie	1	CN	Diminutive	20	0	0	PFRPG Bestiary 3	fey						
Atomie	1	CN	Tiny	40	0	0	Tome of Horrors Complete	fey						
Attic Whisperer	4	NE	Small	20	0	0	PFRPG Bestiary 2	undead						
Augnagar	14	CE	Huge	50	50	0	PFRPG Bestiary 2	outsider	chaotic	evil	extraplanar	qlippoth		
Augur	2	LE	Tiny	20	0	0	PFRPG Bestiary 3	outsider	evil	extraplanar	kyton	lawful		
Aurochs	2	N	Large	40	0	0	PFRPG Bestiary	animal						
Aurumvorax	9	N	Small	30	0	0	PFRPG Bestiary 2	magical beast						
Aurumvorax	9	N	Small	30	0	0	Tome of Horrors Complete	magical beast						
Avoral	9	NG	Medium	40	90	0	PFRPG Bestiary 2	outsider	agathion	extraplanar	good			
Axe Beak	2	N	Large	50	0	0	PFRPG Bestiary 3	animal						
Axe Beak	2	N	Large	50	0	0	Tome of Horrors Complete	animal						
Axiomite	8	LN	Medium	30	30	0	PFRPG Bestiary 2	outsider	extraplanar	lawful				
Azer	2	LN	Medium	30	0	0	PFRPG Bestiary 2	outsider	extraplanar	fire				
Azgenzak	8	NE	Large	20	0	20	AP 69	aberration	aquatic					
Azizou Demon	4	CE	Small	30	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Azruverda	13	CG	Huge	50	0	0	PFRPG Bestiary 3	aberration						
Baal	22	LE	Large	30	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Baaphel	21	LE	Medium	30	30	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Baba Yaga	10	NE	Medium	30	0	0	Tome of Horrors 4	monstrous humanoid						
Babau	6	CE	Medium	30	0	0	PFRPG Bestiary	outsider	chaotic	demon	evil	extraplanar		
Babbler	3	CE	Large	40	0	0	Tome of Horrors Complete	magical beast						
Baboon	0.50	N	Small	30	0	0	PFRPG Bestiary 2	animal						
Baboonwere	2	CE	Medium	30	0	0	Tome of Horrors 4	magical beast	shapechanger					
Baccae	3	CN	Medium	30	0	0	Tome of Horrors Complete	fey						
Badger	0.50	N	Small	30	0	0	PFRPG Bestiary 2	animal						
Badger, Dire	2	N	Medium	30	0	0	PFRPG Bestiary 2	animal						
Bakekujira	17	NE	Colossal	15	60	0	PFRPG Bestiary 4	undead	aquatic					
Baku	8	N	Medium	30	0	0	PFRPG Bestiary 3	magical beast						
Balban Demon	8	CE	Large	40	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Balisse Angel	8	NG	Medium	40	0	0	Chronicle Of The Righteous	outsider	angel	extraplanar	good			
Balor	20	CE	Large	40	90	0	PFRPG Bestiary	outsider	chaotic	demon	evil	extraplanar		
Balor Lord	25	CE	Large	50	0	0	d20pfsrd	outsider	chaotic	demon	evil	extraplanar		
Baluchitherium	8	N	Huge	40	0	0	PFRPG Bestiary 3	animal						
Banderlog	2	N	Medium	40	0	0	Tome of Horrors Complete	monstrous humanoid						
Bandersnatch	17	N	Gargantuan	60	0	0	PFRPG Bestiary 3	magical beast						
Banshee	13	CE	Medium	0	60	0	PFRPG Bestiary 2	undead	incorporeal					
Banyant	9	CG	Huge	20	0	0	Tome of Horrors 4	plant						
Baobhan Sith	6	CE	Medium	30	0	0	Tome of Horrors Complete	fey						
Baphomet	25	CE	Large	50	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Baphomet	27	CE	Large	50	50	0	AP 77	outsider	chaotic	demon	evil	extraplanar		
Barbed Devil	11	LE	Medium	30	0	0	PFRPG Bestiary	outsider	devil	evil	extraplanar	lawful		
Barbegazi	1	NE	Small	20	0	0	Tome of Horrors Complete	humanoid	cold	gnome				
Baregara	12	CE	Large	30	0	0	PFRPG Bestiary 3	outsider	chaotic	evil	extraplanar			
Barghest	4	LE	Medium	30	0	0	PFRPG Bestiary	outsider	evil	extraplanar	lawful	shapechanger		
Baric	0.50	N	Small	40	0	0	Tome of Horrors Complete	magical beast						
Barizou Demon	3	CE	Small	30	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Barometz	15	N	Gargantuan	40	0	0	PFRPG Bestiary 4	plant						
Barrow Rat	0.25	N	Tiny	15	0	0	Tome of Horrors Complete	magical beast						
Barrow Wight	4	CE	Medium	30	0	0	Tome of Horrors Complete	undead						
Basidirond	4	N	Medium	20	0	0	Tome of Horrors Complete	plant	fungus					
Basidirond	5	N	Medium	20	0	0	PFRPG Bestiary	plant						
Basileus	15	LE	Medium	30	60	0	AP 29	outsider	devil	evil	extraplanar	lawful		
Basilisk	5	N	Medium	20	0	0	PFRPG Bestiary	magical beast						
Basilosaurus	12	N	Gargantuan	0	0	40	PFRPG Bestiary 3	animal						
Bat	0.13	N	Diminutive	5	40	0	PFRPG Bestiary	animal						
Bat Swarm	2	N	Diminutive	5	40	0	PFRPG Bestiary	animal	swarm					
Battlehulk	13	N	Huge	10	0	0	Tome of Horrors 4	construct	good					
Baykok	9	NE	Medium	30	0	0	PFRPG Bestiary 3	undead						
Bearded Devil	5	LE	Medium	40	0	0	AP 36	outsider	devil	evil	extraplanar	lawful		
Bebilith	10	CE	Huge	40	0	0	PFRPG Bestiary	outsider	chaotic	evil	extraplanar			
Bedlam	9	CN	Large	0	50	0	Tome of Horrors Complete	aberration	chaotic					
Beheaded	0.33	NE	Tiny	0	40	0	PFRPG Bestiary 4	undead						
Behemoth Golem	17	N	Colossal	30	0	0	Lost Kingdoms	construct						
Behemoth Hippopotamus	10	N	Huge	50	0	0	PFRPG Bestiary 2	animal						
Behemoth, Ravener	18	N	Colossal	30	0	30	AP 30	magical beast						
Behir	8	N	Huge	40	0	0	PFRPG Bestiary	magical beast						
Belabra	3	N	Medium	5	0	0	Tome of Horrors Complete	aberration						
Belier Devil	16	LE	Large	20	60	0	PFRPG Bestiary 2	outsider	devil	evil	extraplanar	lawful		
Belker	6	NE	Large	30	50	0	PFRPG Bestiary 2	outsider	air	elemental	evil			
Belostomatid	3	N	Large	20	20	40	AP 49	vermin						
Beluiri	15	CE	Medium	40	0	0	Tome of Horrors Complete	outsider	chaotic	demon	evil	extraplanar		
Berbalang	6	CE	Medium	40	0	0	PFRPG Bestiary 3	undead						
Berserker Cannibal	3	CE	Medium	30	0	0	Lands Of The Linnorm Kings	humanoid	human					
Besmaran Priest	4	CN	Medium	30	0	0	Isles Of The Shackles	humanoid	human					
Bhole	17	CN	Colossal	50	0	0	PFRPG Bestiary 4	magical beast						
Bhuta	6	NE	Medium	30	0	0	Tome of Horrors Complete	undead						
Bhuta	11	NE	Medium	0	30	0	PFRPG Bestiary 3	undead	incorporeal					
Biclops	12	N	Huge	40	0	0	Tome of Horrors Complete	humanoid	giant					
Biloko	0.50	NE	Small	20	0	0	AP 38	fey						
Bison	4	N	Large	40	0	0	PFRPG Bestiary	animal						
Black Magga	15	CE	Gargantuan	20	0	60	RotRL-AE-Appendix	outsider	aquatic	native				
Black Orc	0.33	CE	Medium	20	0	0	Tome of Horrors Complete	humanoid	orc					
Black Pudding	7	N	Huge	20	0	0	PFRPG Bestiary	ooze						
Black Rider	13	LN	Medium	30	0	0	Irrisen Land Of Eternal Winter	fey						
Black Rot	16	N	Medium	0	10	0	Tome of Horrors 4	vermin	swarm					
Black Scorpion	15	N	Colossal	60	0	0	PFRPG Bestiary 2	vermin						
Black Skeleton	5	CE	Medium	40	0	0	Tome of Horrors Complete	undead						
Black Spot	0.50	NE	Tiny	20	0	20	AP 56	magical beast	aquatic					
Black Troll	7	CE	Large	30	0	0	Tome of Horrors 4	humanoid	giant					
Blackraven Scout	5	CN	Medium	30	0	0	Lands Of The Linnorm Kings	humanoid	human					
Blackwood Satyr	7	CN	Medium	40	0	0	Fey Revisited	fey						
Bladecoin Swarm	6	N	Fine	0	30	0	Tome of Horrors 4	construct	swarm					
Blaze Boa	6	N	Large	30	0	20	Tome of Horrors 4	magical beast						
Blighted Fey	6	CE	Medium	40	0	0	Inner Sea Bestiary	fey						
Blightspawn of Ghlaunder	5	CE	Medium	30	50	0	The Feast Of Ravenmoor	aberration						
Blindheim	2	N	Small	30	0	20	PFRPG Bestiary 2	magical beast						
Blindheim	2	CE	Small	30	0	0	Tome of Horrors Complete	aberration						
Blink Dog	2	LG	Medium	40	0	0	PFRPG Bestiary 2	magical beast						
Blodeuwedd	6	CN	Medium	30	0	0	AP 33	fey						
Blood Bush	4	N	Small	0	0	0	Tome of Horrors Complete	plant						
Blood Golem	6	N	Medium	10	0	0	PFRPG Bestiary 4	construct						
Blood Golem	5	N	Large	30	0	30	Tome of Horrors Complete	aberration						
Blood Hag	8	NE	Medium	30	0	0	PFRPG Bestiary 4	monstrous humanoid	shapechanger					
Blood Hawk	1	N	Small	10	0	0	Tome of Horrors Complete	magical beast						
Blood Orc	0.33	CE	Medium	30	0	0	Tome of Horrors Complete	humanoid	orc					
Blood Orchid	5	LE	Large	5	0	0	Tome of Horrors 4	aberration						
Blood Pudding	5	N	Medium	30	0	0	Tome of Horrors Complete	ooze						
Blood Queen	23	CE	Gargantuan	10	0	0	Isles Of The Shackles	outsider	native					
Blood Reaver Devil	8	LE	Medium	40	0	0	Tome of Horrors Complete	outsider	devil	evil	extraplanar	lawful		
Blood Weird	8	CE	Large	40	0	0	Tome of Horrors Complete	outsider	chaotic	evil	extraplanar			
Blood Wight	9	N	Large	30	0	0	Tome of Horrors Complete	undead						
Bloodhaze Mosquito Swarm	6	N	Fine	5	30	0	AP 38	vermin	swarm					
Bloodsoaker Vine	9	N	Large	10	0	0	Tome of Horrors 4	plant	extraplanar					
Bloodsuckle	6	N	Large	0	0	0	Tome of Horrors Complete	plant						
Bloodworm	4	N	Large	20	0	20	Tome of Horrors 4	vermin						
Bloody Bones	4	CE	Medium	30	0	0	Tome of Horrors Complete	undead						
Blue Whale	12	N	Colossal	0	0	40	AP 59	animal						
Blue-Ringed Octopus	0.50	N	Tiny	20	0	30	Ultimate Magic	animal	aquatic					
Bluetip Eurypterid	5	N	Large	20	0	60	AP 37	vermin	aquatic					
Boalisk	4	N	Large	20	0	20	Tome of Horrors Complete	magical beast						
Boar	2	N	Medium	40	0	0	PFRPG Bestiary	animal						
Boarfolk	10	N	Large	40	0	0	Tome of Horrors 4	magical beast						
Bodak	8	CE	Medium	20	0	0	PFRPG Bestiary 2	undead	extraplanar					
Bodythief	14	LE	Gargantuan	5	0	0	PFRPG Bestiary 4	plant						
Bog Beast	5	N	Large	30	0	0	Tome of Horrors Complete	monstrous humanoid						
Bog Creeper	8	N	Medium	10	0	20	Tome of Horrors Complete	plant	fungus					
Bog Mummy	6	CE	Medium	20	0	0	Tome of Horrors Complete	undead						
Bog Strider	2	N	Medium	30	0	0	AP 34	monstrous humanoid						
Bogeyman	6	CN	Medium	30	0	0	Tome of Horrors Complete	undead	incorporeal					
Bogeyman	10	NE	Medium	30	0	0	PFRPG Bestiary 3	fey						
Boggard	2	CE	Medium	20	0	30	PFRPG Bestiary	humanoid	boggard					
Boggart	5	CE	Small	20	0	0	Tome of Horrors Complete	aberration	air	shapechanger				
Bogwid	5	CN	Medium	30	0	20	AP 62	aberration						
Bogwiggle	1	CE	Small	30	0	40	AP 62	aberration	aquatic					
Boilborn	1	N	Tiny	10	0	10	PFRPG Bestiary 4	ooze						
Bokrug	27	CN	Large	50	0	120	PFRPG Bestiary 4	magical beast	aquatic	chaotic	extraplanar	Great Old One		
Bone Cobbler	4	CE	Medium	30	0	0	Tome of Horrors Complete	aberration						
Bone Crawler	12	N	Huge	20	0	0	Tome of Horrors 4	aberration						
